"COL0","COL1","COL2","COL3","COL4","COL5","COL6"
"3520","35","Ontario","20","Toronto","0000",2294790.00
"35200002","35","Ontario","20","Toronto","0002",290.00
"35200003","35","Ontario","20","Toronto","0003",295.00
"35200004","35","Ontario","20","Toronto","0004",330.00
"35200005","35","Ontario","20","Toronto","0005",340.00
"35200006","35","Ontario","20","Toronto","0006",430.00
"35200007","35","Ontario","20","Toronto","0007",565.00
"35200009","35","Ontario","20","Toronto","0009",250.00
"35200010","35","Ontario","20","Toronto","0010",215.00
"35200012","35","Ontario","20","Toronto","0012",430.00
"35200013","35","Ontario","20","Toronto","0013",50.00
"35200018","35","Ontario","20","Toronto","0018",445.00
"35200028","35","Ontario","20","Toronto","0028",905.00
"35200029","35","Ontario","20","Toronto","0029",295.00
"35200030","35","Ontario","20","Toronto","0030",415.00
"35200031","35","Ontario","20","Toronto","0031",945.00
"35200032","35","Ontario","20","Toronto","0032",605.00
"35200033","35","Ontario","20","Toronto","0033",375.00
"35200034","35","Ontario","20","Toronto","0034",685.00
"35200035","35","Ontario","20","Toronto","0035",595.00
"35200036","35","Ontario","20","Toronto","0036",245.00
"35200037","35","Ontario","20","Toronto","0037",1060.00
"35200039","35","Ontario","20","Toronto","0039",275.00
"35200041","35","Ontario","20","Toronto","0041",770.00
"35200042","35","Ontario","20","Toronto","0042",535.00
"35200043","35","Ontario","20","Toronto","0043",495.00
"35200044","35","Ontario","20","Toronto","0044",195.00
"35200046","35","Ontario","20","Toronto","0046",650.00
"35200047","35","Ontario","20","Toronto","0047",725.00
"35200048","35","Ontario","20","Toronto","0048",730.00
"35200049","35","Ontario","20","Toronto","0049",630.00
"35200050","35","Ontario","20","Toronto","0050",825.00
"35200051","35","Ontario","20","Toronto","0051",400.00
"35200052","35","Ontario","20","Toronto","0052",315.00
"35200053","35","Ontario","20","Toronto","0053",265.00
"35200054","35","Ontario","20","Toronto","0054",325.00
"35200055","35","Ontario","20","Toronto","0055",405.00
"35200056","35","Ontario","20","Toronto","0056",255.00
"35200057","35","Ontario","20","Toronto","0057",210.00
"35200058","35","Ontario","20","Toronto","0058",225.00
"35200062","35","Ontario","20","Toronto","0062",635.00
"35200064","35","Ontario","20","Toronto","0064",565.00
"35200065","35","Ontario","20","Toronto","0065",355.00
"35200066","35","Ontario","20","Toronto","0066",425.00
"35200067","35","Ontario","20","Toronto","0067",540.00
"35200068","35","Ontario","20","Toronto","0068",450.00
"35200069","35","Ontario","20","Toronto","0069",595.00
"35200070","35","Ontario","20","Toronto","0070",480.00
"35200071","35","Ontario","20","Toronto","0071",380.00
"35200072","35","Ontario","20","Toronto","0072",330.00
"35200073","35","Ontario","20","Toronto","0073",325.00
"35200074","35","Ontario","20","Toronto","0074",335.00
"35200078","35","Ontario","20","Toronto","0078",670.00
"35200079","35","Ontario","20","Toronto","0079",1145.00
"35200080","35","Ontario","20","Toronto","0080",405.00
"35200082","35","Ontario","20","Toronto","0082",315.00
"35200085","35","Ontario","20","Toronto","0085",325.00
"35200086","35","Ontario","20","Toronto","0086",470.00
"35200087","35","Ontario","20","Toronto","0087",545.00
"35200088","35","Ontario","20","Toronto","0088",430.00
"35200089","35","Ontario","20","Toronto","0089",520.00
"35200090","35","Ontario","20","Toronto","0090",515.00
"35200091","35","Ontario","20","Toronto","0091",445.00
"35200092","35","Ontario","20","Toronto","0092",655.00
"35200093","35","Ontario","20","Toronto","0093",550.00
"35200094","35","Ontario","20","Toronto","0094",315.00
"35200095","35","Ontario","20","Toronto","0095",465.00
"35200096","35","Ontario","20","Toronto","0096",195.00
"35200097","35","Ontario","20","Toronto","0097",240.00
"35200099","35","Ontario","20","Toronto","0099",235.00
"35200100","35","Ontario","20","Toronto","0100",315.00
"35200101","35","Ontario","20","Toronto","0101",970.00
"35200102","35","Ontario","20","Toronto","0102",750.00
"35200103","35","Ontario","20","Toronto","0103",245.00
"35200104","35","Ontario","20","Toronto","0104",930.00
"35200105","35","Ontario","20","Toronto","0105",1080.00
"35200106","35","Ontario","20","Toronto","0106",1105.00
"35200107","35","Ontario","20","Toronto","0107",200.00
"35200108","35","Ontario","20","Toronto","0108",450.00
"35200109","35","Ontario","20","Toronto","0109",460.00
"35200110","35","Ontario","20","Toronto","0110",520.00
"35200111","35","Ontario","20","Toronto","0111",450.00
"35200112","35","Ontario","20","Toronto","0112",855.00
"35200114","35","Ontario","20","Toronto","0114",945.00
"35200115","35","Ontario","20","Toronto","0115",730.00
