"COL0","COL1","COL2","COL3"
"3520","35","Ontario",2731571.00
"35200002","35","Ontario",356.00
"35200003","35","Ontario",335.00
"35200004","35","Ontario",384.00
"35200005","35","Ontario",408.00
"35200006","35","Ontario",527.00
"35200007","35","Ontario",653.00
"35200009","35","Ontario",293.00
"35200010","35","Ontario",274.00
"35200012","35","Ontario",503.00
"35200013","35","Ontario",59.00
"35200018","35","Ontario",497.00
"35200028","35","Ontario",1174.00
"35200029","35","Ontario",378.00
"35200030","35","Ontario",521.00
"35200031","35","Ontario",1142.00
"35200032","35","Ontario",692.00
"35200033","35","Ontario",471.00
"35200034","35","Ontario",791.00
"35200035","35","Ontario",673.00
"35200036","35","Ontario",273.00
"35200037","35","Ontario",1283.00
"35200039","35","Ontario",314.00
"35200041","35","Ontario",902.00
"35200042","35","Ontario",625.00
"35200043","35","Ontario",572.00
"35200044","35","Ontario",234.00
"35200046","35","Ontario",774.00
"35200047","35","Ontario",990.00
"35200048","35","Ontario",1004.00
"35200049","35","Ontario",809.00
"35200050","35","Ontario",1031.00
"35200051","35","Ontario",467.00
"35200052","35","Ontario",389.00
"35200053","35","Ontario",315.00
"35200054","35","Ontario",369.00
"35200055","35","Ontario",463.00
"35200056","35","Ontario",301.00
"35200057","35","Ontario",248.00
"35200058","35","Ontario",275.00
"35200062","35","Ontario",780.00
"35200064","35","Ontario",660.00
"35200065","35","Ontario",412.00
"35200066","35","Ontario",483.00
"35200067","35","Ontario",623.00
"35200068","35","Ontario",499.00
"35200069","35","Ontario",673.00
"35200070","35","Ontario",556.00
"35200071","35","Ontario",436.00
"35200072","35","Ontario",366.00
"35200073","35","Ontario",377.00
"35200074","35","Ontario",382.00
"35200078","35","Ontario",755.00
"35200079","35","Ontario",1276.00
"35200080","35","Ontario",454.00
"35200082","35","Ontario",353.00
"35200085","35","Ontario",357.00
"35200086","35","Ontario",527.00
"35200087","35","Ontario",629.00
"35200088","35","Ontario",484.00
"35200089","35","Ontario",596.00
"35200090","35","Ontario",582.00
"35200091","35","Ontario",524.00
"35200092","35","Ontario",775.00
"35200093","35","Ontario",618.00
"35200094","35","Ontario",484.00
"35200095","35","Ontario",541.00
"35200096","35","Ontario",219.00
"35200097","35","Ontario",269.00
"35200099","35","Ontario",266.00
"35200100","35","Ontario",368.00
"35200101","35","Ontario",1123.00
"35200102","35","Ontario",892.00
"35200103","35","Ontario",281.00
"35200104","35","Ontario",1058.00
"35200105","35","Ontario",1274.00
"35200106","35","Ontario",1389.00
"35200107","35","Ontario",227.00
"35200108","35","Ontario",496.00
"35200109","35","Ontario",516.00
"35200110","35","Ontario",609.00
"35200111","35","Ontario",512.00
"35200112","35","Ontario",960.00
"35200114","35","Ontario",1081.00
"35200115","35","Ontario",854.00
"35200116","35","Ontario",529.00
"35200117","35","Ontario",881.00
"35200118","35","Ontario",585.00
"35200119","35","Ontario",302.00
"35200120","35","Ontario",1031.00
"35200121","35","Ontario",510.00
"35200123","35","Ontario",1004.00
"35200124","35","Ontario",848.00
"35200125","35","Ontario",645.00
"35200126","35","Ontario",501.00
"35200127","35","Ontario",820.00
"35200128","35","Ontario",727.00
"35200133","35","Ontario",1134.00
"35200134","35","Ontario",727.00
"35200135","35","Ontario",486.00
"35200136","35","Ontario",465.00
"35200137","35","Ontario",609.00
"35200138","35","Ontario",271.00
"35200139","35","Ontario",371.00
"35200140","35","Ontario",372.00
"35200141","35","Ontario",561.00
"35200142","35","Ontario",436.00
"35200143","35","Ontario",803.00
"35200144","35","Ontario",588.00
"35200145","35","Ontario",538.00
"35200146","35","Ontario",532.00
"35200147","35","Ontario",495.00
"35200148","35","Ontario",407.00
"35200149","35","Ontario",374.00
"35200150","35","Ontario",1353.00
"35200161","35","Ontario",669.00
"35200162","35","Ontario",701.00
"35200163","35","Ontario",680.00
"35200164","35","Ontario",226.00
"35200165","35","Ontario",507.00
"35200166","35","Ontario",844.00
"35200167","35","Ontario",1332.00
"35200173","35","Ontario",392.00
"35200174","35","Ontario",616.00
"35200175","35","Ontario",674.00
"35200176","35","Ontario",404.00
"35200177","35","Ontario",418.00
"35200178","35","Ontario",562.00
"35200179","35","Ontario",598.00
"35200180","35","Ontario",585.00
"35200181","35","Ontario",352.00
"35200182","35","Ontario",397.00
"35200183","35","Ontario",508.00
"35200186","35","Ontario",627.00
"35200187","35","Ontario",465.00
"35200188","35","Ontario",873.00
"35200189","35","Ontario",467.00
"35200190","35","Ontario",380.00
"35200193","35","Ontario",407.00
"35200196","35","Ontario",537.00
"35200197","35","Ontario",405.00
"35200198","35","Ontario",450.00
"35200199","35","Ontario",715.00
"35200200","35","Ontario",503.00
"35200201","35","Ontario",563.00
"35200202","35","Ontario",564.00
"35200203","35","Ontario",600.00
"35200204","35","Ontario",660.00
"35200205","35","Ontario",499.00
"35200206","35","Ontario",498.00
"35200207","35","Ontario",238.00
"35200208","35","Ontario",451.00
"35200209","35","Ontario",415.00
"35200210","35","Ontario",525.00
"35200211","35","Ontario",428.00
"35200212","35","Ontario",408.00
"35200213","35","Ontario",565.00
"35200214","35","Ontario",633.00
"35200215","35","Ontario",400.00
"35200216","35","Ontario",677.00
"35200217","35","Ontario",412.00
"35200218","35","Ontario",584.00
"35200219","35","Ontario",485.00
"35200220","35","Ontario",434.00
"35200221","35","Ontario",3987.00
"35200222","35","Ontario",843.00
"35200223","35","Ontario",420.00
"35200224","35","Ontario",801.00
"35200232","35","Ontario",668.00
"35200233","35","Ontario",385.00
"35200234","35","Ontario",458.00
"35200235","35","Ontario",403.00
"35200236","35","Ontario",394.00
"35200237","35","Ontario",365.00
"35200238","35","Ontario",352.00
"35200239","35","Ontario",299.00
"35200242","35","Ontario",439.00
"35200243","35","Ontario",423.00
"35200244","35","Ontario",401.00
"35200245","35","Ontario",734.00
"35200246","35","Ontario",421.00
"35200249","35","Ontario",492.00
"35200250","35","Ontario",446.00
"35200251","35","Ontario",282.00
"35200252","35","Ontario",561.00
"35200253","35","Ontario",713.00
"35200254","35","Ontario",795.00
"35200255","35","Ontario",529.00
"35200256","35","Ontario",635.00
"35200260","35","Ontario",456.00
"35200261","35","Ontario",543.00
"35200262","35","Ontario",525.00
"35200263","35","Ontario",347.00
"35200264","35","Ontario",503.00
"35200265","35","Ontario",476.00
"35200266","35","Ontario",604.00
"35200267","35","Ontario",1136.00
"35200268","35","Ontario",558.00
"35200269","35","Ontario",698.00
"35200271","35","Ontario",1705.00
"35200272","35","Ontario",2502.00
"35200273","35","Ontario",3292.00
"35200275","35","Ontario",439.00
"35200278","35","Ontario",392.00
"35200279","35","Ontario",572.00
"35200280","35","Ontario",961.00
"35200281","35","Ontario",529.00
"35200284","35","Ontario",912.00
"35200288","35","Ontario",429.00
"35200289","35","Ontario",618.00
"35200290","35","Ontario",528.00
"35200291","35","Ontario",582.00
"35200292","35","Ontario",951.00
"35200293","35","Ontario",2150.00
"35200294","35","Ontario",470.00
"35200297","35","Ontario",401.00
"35200298","35","Ontario",1094.00
"35200300","35","Ontario",1232.00
"35200301","35","Ontario",404.00
"35200302","35","Ontario",918.00
"35200303","35","Ontario",250.00
"35200304","35","Ontario",683.00
"35200305","35","Ontario",622.00
"35200306","35","Ontario",630.00
"35200307","35","Ontario",289.00
"35200308","35","Ontario",564.00
"35200309","35","Ontario",635.00
"35200310","35","Ontario",606.00
"35200313","35","Ontario",0.00
"35200315","35","Ontario",996.00
"35200316","35","Ontario",1542.00
"35200317","35","Ontario",465.00
"35200318","35","Ontario",396.00
"35200319","35","Ontario",496.00
"35200320","35","Ontario",926.00
"35200321","35","Ontario",720.00
"35200322","35","Ontario",374.00
"35200323","35","Ontario",1148.00
"35200324","35","Ontario",875.00
"35200325","35","Ontario",309.00
"35200326","35","Ontario",593.00
"35200327","35","Ontario",318.00
"35200328","35","Ontario",385.00
"35200329","35","Ontario",378.00
"35200330","35","Ontario",461.00
"35200331","35","Ontario",377.00
"35200332","35","Ontario",457.00
"35200333","35","Ontario",458.00
"35200334","35","Ontario",460.00
"35200335","35","Ontario",481.00
"35200336","35","Ontario",473.00
"35200337","35","Ontario",482.00
"35200338","35","Ontario",464.00
"35200339","35","Ontario",658.00
"35200352","35","Ontario",1361.00
"35200355","35","Ontario",540.00
"35200357","35","Ontario",518.00
"35200358","35","Ontario",570.00
"35200359","35","Ontario",503.00
"35200360","35","Ontario",483.00
"35200361","35","Ontario",386.00
"35200362","35","Ontario",555.00
"35200363","35","Ontario",517.00
"35200364","35","Ontario",1594.00
"35200366","35","Ontario",695.00
"35200368","35","Ontario",348.00
"35200370","35","Ontario",481.00
"35200371","35","Ontario",565.00
"35200372","35","Ontario",379.00
"35200373","35","Ontario",322.00
"35200374","35","Ontario",606.00
"35200375","35","Ontario",327.00
"35200376","35","Ontario",542.00
"35200377","35","Ontario",497.00
"35200378","35","Ontario",304.00
"35200379","35","Ontario",558.00
"35200380","35","Ontario",596.00
"35200381","35","Ontario",1089.00
"35200382","35","Ontario",924.00
"35200383","35","Ontario",570.00
"35200384","35","Ontario",527.00
"35200385","35","Ontario",330.00
"35200386","35","Ontario",805.00
"35200387","35","Ontario",441.00
"35200388","35","Ontario",761.00
"35200389","35","Ontario",961.00
"35200391","35","Ontario",369.00
"35200392","35","Ontario",392.00
"35200393","35","Ontario",890.00
"35200394","35","Ontario",580.00
"35200395","35","Ontario",480.00
"35200396","35","Ontario",467.00
"35200397","35","Ontario",914.00
"35200400","35","Ontario",304.00
"35200401","35","Ontario",449.00
"35200402","35","Ontario",465.00
"35200404","35","Ontario",470.00
"35200405","35","Ontario",462.00
"35200406","35","Ontario",389.00
"35200407","35","Ontario",417.00
"35200408","35","Ontario",517.00
"35200409","35","Ontario",345.00
"35200410","35","Ontario",1029.00
"35200411","35","Ontario",753.00
"35200412","35","Ontario",1675.00
"35200413","35","Ontario",759.00
"35200414","35","Ontario",1168.00
"35200415","35","Ontario",527.00
"35200416","35","Ontario",498.00
"35200417","35","Ontario",1103.00
"35200418","35","Ontario",1059.00
"35200420","35","Ontario",794.00
"35200421","35","Ontario",349.00
"35200422","35","Ontario",539.00
"35200423","35","Ontario",576.00
"35200426","35","Ontario",474.00
"35200427","35","Ontario",526.00
"35200428","35","Ontario",470.00
"35200429","35","Ontario",530.00
"35200430","35","Ontario",621.00
"35200431","35","Ontario",622.00
"35200432","35","Ontario",377.00
"35200433","35","Ontario",435.00
"35200434","35","Ontario",461.00
"35200435","35","Ontario",406.00
"35200436","35","Ontario",647.00
"35200437","35","Ontario",420.00
"35200438","35","Ontario",582.00
"35200439","35","Ontario",396.00
"35200440","35","Ontario",500.00
"35200442","35","Ontario",517.00
"35200443","35","Ontario",521.00
"35200444","35","Ontario",588.00
"35200445","35","Ontario",384.00
"35200449","35","Ontario",473.00
"35200450","35","Ontario",422.00
"35200451","35","Ontario",332.00
"35200452","35","Ontario",626.00
"35200453","35","Ontario",670.00
"35200454","35","Ontario",724.00
"35200455","35","Ontario",407.00
"35200456","35","Ontario",835.00
