"COL0","COL1"
"3520",2731571.00
"35200002",356.00
"35200003",335.00
"35200004",384.00
"35200005",408.00
"35200006",527.00
"35200007",653.00
"35200009",293.00
"35200010",274.00
"35200012",503.00
"35200013",59.00
"35200018",497.00
"35200028",1174.00
"35200029",378.00
"35200030",521.00
"35200031",1142.00
"35200032",692.00
"35200033",471.00
"35200034",791.00
"35200035",673.00
"35200036",273.00
"35200037",1283.00
"35200039",314.00
"35200041",902.00
"35200042",625.00
"35200043",572.00
"35200044",234.00
"35200046",774.00
"35200047",990.00
"35200048",1004.00
"35200049",809.00
"35200050",1031.00
"35200051",467.00
"35200052",389.00
"35200053",315.00
"35200054",369.00
"35200055",463.00
"35200056",301.00
"35200057",248.00
"35200058",275.00
"35200062",780.00
"35200064",660.00
"35200065",412.00
"35200066",483.00
"35200067",623.00
"35200068",499.00
"35200069",673.00
"35200070",556.00
"35200071",436.00
"35200072",366.00
"35200073",377.00
"35200074",382.00
"35200078",755.00
"35200079",1276.00
"35200080",454.00
"35200082",353.00
"35200085",357.00
"35200086",527.00
"35200087",629.00
"35200088",484.00
"35200089",596.00
"35200090",582.00
"35200091",524.00
"35200092",775.00
"35200093",618.00
"35200094",484.00
"35200095",541.00
"35200096",219.00
"35200097",269.00
"35200099",266.00
"35200100",368.00
"35200101",1123.00
"35200102",892.00
"35200103",281.00
"35200104",1058.00
"35200105",1274.00
"35200106",1389.00
"35200107",227.00
"35200108",496.00
"35200109",516.00
"35200110",609.00
"35200111",512.00
"35200112",960.00
"35200114",1081.00
"35200115",854.00
"35200116",529.00
"35200117",881.00
"35200118",585.00
"35200119",302.00
"35200120",1031.00
"35200121",510.00
"35200123",1004.00
"35200124",848.00
"35200125",645.00
"35200126",501.00
"35200127",820.00
"35200128",727.00
"35200133",1134.00
"35200134",727.00
"35200135",486.00
"35200136",465.00
"35200137",609.00
"35200138",271.00
"35200139",371.00
"35200140",372.00
"35200141",561.00
"35200142",436.00
"35200143",803.00
"35200144",588.00
"35200145",538.00
"35200146",532.00
"35200147",495.00
"35200148",407.00
"35200149",374.00
"35200150",1353.00
"35200161",669.00
"35200162",701.00
"35200163",680.00
"35200164",226.00
"35200165",507.00
"35200166",844.00
"35200167",1332.00
"35200173",392.00
"35200174",616.00
"35200175",674.00
"35200176",404.00
"35200177",418.00
"35200178",562.00
"35200179",598.00
"35200180",585.00
"35200181",352.00
"35200182",397.00
"35200183",508.00
"35200186",627.00
"35200187",465.00
"35200188",873.00
"35200189",467.00
"35200190",380.00
"35200193",407.00
"35200196",537.00
"35200197",405.00
"35200198",450.00
"35200199",715.00
"35200200",503.00
"35200201",563.00
"35200202",564.00
"35200203",600.00
"35200204",660.00
"35200205",499.00
"35200206",498.00
"35200207",238.00
"35200208",451.00
"35200209",415.00
"35200210",525.00
"35200211",428.00
"35200212",408.00
"35200213",565.00
"35200214",633.00
"35200215",400.00
"35200216",677.00
"35200217",412.00
"35200218",584.00
"35200219",485.00
"35200220",434.00
"35200221",3987.00
"35200222",843.00
"35200223",420.00
"35200224",801.00
"35200232",668.00
"35200233",385.00
"35200234",458.00
"35200235",403.00
"35200236",394.00
"35200237",365.00
"35200238",352.00
"35200239",299.00
"35200242",439.00
"35200243",423.00
"35200244",401.00
"35200245",734.00
"35200246",421.00
"35200249",492.00
"35200250",446.00
"35200251",282.00
"35200252",561.00
"35200253",713.00
"35200254",795.00
"35200255",529.00
"35200256",635.00
"35200260",456.00
"35200261",543.00
"35200262",525.00
"35200263",347.00
"35200264",503.00
"35200265",476.00
"35200266",604.00
"35200267",1136.00
"35200268",558.00
"35200269",698.00
"35200271",1705.00
"35200272",2502.00
"35200273",3292.00
"35200275",439.00
"35200278",392.00
"35200279",572.00
"35200280",961.00
"35200281",529.00
"35200284",912.00
"35200288",429.00
"35200289",618.00
"35200290",528.00
"35200291",582.00
"35200292",951.00
"35200293",2150.00
"35200294",470.00
"35200297",401.00
"35200298",1094.00
"35200300",1232.00
"35200301",404.00
"35200302",918.00
"35200303",250.00
"35200304",683.00
"35200305",622.00
"35200306",630.00
"35200307",289.00
"35200308",564.00
"35200309",635.00
"35200310",606.00
"35200313",0.00
"35200315",996.00
"35200316",1542.00
"35200317",465.00
"35200318",396.00
"35200319",496.00
"35200320",926.00
"35200321",720.00
"35200322",374.00
"35200323",1148.00
"35200324",875.00
"35200325",309.00
"35200326",593.00
"35200327",318.00
"35200328",385.00
"35200329",378.00
"35200330",461.00
"35200331",377.00
"35200332",457.00
"35200333",458.00
"35200334",460.00
"35200335",481.00
"35200336",473.00
"35200337",482.00
"35200338",464.00
"35200339",658.00
"35200352",1361.00
"35200355",540.00
"35200357",518.00
"35200358",570.00
"35200359",503.00
"35200360",483.00
"35200361",386.00
"35200362",555.00
"35200363",517.00
"35200364",1594.00
"35200366",695.00
"35200368",348.00
"35200370",481.00
"35200371",565.00
"35200372",379.00
"35200373",322.00
"35200374",606.00
"35200375",327.00
"35200376",542.00
"35200377",497.00
"35200378",304.00
"35200379",558.00
"35200380",596.00
"35200381",1089.00
"35200382",924.00
"35200383",570.00
"35200384",527.00
"35200385",330.00
"35200386",805.00
"35200387",441.00
"35200388",761.00
"35200389",961.00
"35200391",369.00
"35200392",392.00
"35200393",890.00
"35200394",580.00
"35200395",480.00
"35200396",467.00
"35200397",914.00
"35200400",304.00
"35200401",449.00
"35200402",465.00
"35200404",470.00
"35200405",462.00
"35200406",389.00
"35200407",417.00
"35200408",517.00
"35200409",345.00
"35200410",1029.00
"35200411",753.00
"35200412",1675.00
"35200413",759.00
"35200414",1168.00
"35200415",527.00
"35200416",498.00
"35200417",1103.00
"35200418",1059.00
"35200420",794.00
"35200421",349.00
"35200422",539.00
"35200423",576.00
"35200426",474.00
"35200427",526.00
"35200428",470.00
"35200429",530.00
"35200430",621.00
"35200431",622.00
"35200432",377.00
"35200433",435.00
"35200434",461.00
"35200435",406.00
"35200436",647.00
"35200437",420.00
"35200438",582.00
"35200439",396.00
"35200440",500.00
"35200442",517.00
"35200443",521.00
"35200444",588.00
"35200445",384.00
"35200449",473.00
"35200450",422.00
"35200451",332.00
"35200452",626.00
"35200453",670.00
"35200454",724.00
"35200455",407.00
"35200456",835.00
"35200459",328.00
"35200460",525.00
"35200463",548.00
"35200464",659.00
"35200465",663.00
"35200466",504.00
"35200467",652.00
"35200468",581.00
"35200469",485.00
"35200470",575.00
"35200471",1368.00
"35200472",636.00
"35200475",532.00
"35200478",502.00
"35200479",537.00
"35200480",400.00
"35200481",401.00
"35200482",426.00
"35200483",451.00
"35200484",748.00
"35200488",383.00
"35200489",358.00
"35200490",350.00
"35200491",474.00
"35200492",282.00
"35200493",314.00
"35200494",379.00
"35200495",478.00
"35200497",951.00
"35200498",518.00
"35200499",934.00
"35200505",443.00
"35200506",396.00
"35200510",425.00
"35200511",461.00
"35200512",409.00
"35200513",413.00
"35200514",473.00
"35200515",476.00
"35200516",449.00
"35200517",521.00
"35200518",495.00
"35200519",410.00
"35200520",555.00
"35200521",579.00
"35200522",567.00
"35200523",574.00
"35200524",507.00
"35200525",446.00
"35200529",786.00
"35200531",685.00
"35200532",439.00
"35200533",264.00
"35200534",525.00
"35200535",440.00
"35200536",998.00
"35200538",2241.00
"35200539",1004.00
"35200540",496.00
"35200541",1192.00
"35200542",502.00
"35200545",257.00
"35200561",782.00
"35200562",521.00
"35200563",480.00
"35200564",584.00
"35200565",528.00
"35200566",529.00
"35200567",578.00
"35200568",497.00
"35200569",600.00
"35200570",473.00
"35200571",576.00
"35200572",575.00
"35200573",528.00
"35200574",438.00
"35200575",562.00
"35200576",740.00
"35200577",563.00
"35200578",358.00
"35200579",730.00
"35200580",497.00
"35200581",375.00
"35200582",806.00
"35200583",799.00
"35200584",498.00
"35200585",449.00
"35200586",569.00
"35200587",721.00
"35200588",759.00
"35200589",639.00
"35200590",500.00
"35200591",578.00
"35200593",740.00
"35200594",516.00
"35200595",467.00
"35200596",615.00
"35200597",370.00
"35200598",403.00
"35200599",547.00
"35200600",434.00
"35200601",415.00
"35200602",456.00
"35200603",685.00
"35200604",581.00
"35200605",700.00
"35200606",420.00
"35200610",320.00
"35200611",526.00
"35200612",639.00
"35200639",1939.00
"35200640",566.00
"35200641",1015.00
"35200642",426.00
"35200643",510.00
"35200644",478.00
"35200645",474.00
"35200646",435.00
"35200647",458.00
"35200648",512.00
"35200649",530.00
"35200650",742.00
"35200651",715.00
"35200652",608.00
"35200653",428.00
"35200654",1917.00
"35200655",529.00
"35200656",419.00
"35200657",875.00
"35200658",552.00
"35200659",417.00
"35200660",752.00
"35200661",711.00
"35200662",778.00
"35200663",289.00
"35200664",731.00
"35200665",847.00
"35200666",754.00
"35200667",472.00
"35200668",325.00
"35200669",368.00
"35200670",525.00
"35200671",418.00
"35200672",301.00
"35200673",608.00
"35200674",945.00
"35200675",583.00
"35200676",631.00
"35200677",516.00
"35200678",689.00
"35200679",553.00
"35200680",849.00
"35200681",564.00
"35200682",434.00
"35200683",814.00
"35200686",1014.00
"35200687",491.00
"35200688",451.00
"35200689",372.00
"35200690",409.00
"35200691",282.00
"35200692",320.00
"35200693",475.00
"35200694",577.00
"35200695",601.00
"35200696",321.00
"35200697",522.00
"35200698",303.00
"35200699",421.00
"35200700",302.00
"35200701",488.00
"35200702",577.00
"35200703",631.00
"35200704",523.00
"35200705",969.00
"35200706",450.00
"35200707",394.00
"35200708",504.00
"35200709",526.00
"35200710",511.00
"35200711",464.00
"35200712",749.00
"35200713",447.00
"35200714",409.00
"35200715",419.00
"35200716",343.00
"35200717",471.00
"35200718",1410.00
"35200719",961.00
"35200720",562.00
"35200724",623.00
"35200725",638.00
"35200726",412.00
"35200727",508.00
"35200728",1060.00
"35200729",364.00
"35200730",339.00
"35200731",463.00
"35200732",601.00
"35200733",542.00
"35200734",365.00
"35200735",440.00
"35200736",370.00
"35200737",406.00
"35200738",451.00
"35200739",601.00
"35200740",521.00
"35200741",635.00
"35200744",893.00
"35200745",635.00
"35200746",976.00
"35200747",546.00
"35200748",569.00
"35200749",504.00
"35200750",494.00
"35200751",548.00
"35200752",386.00
"35200753",640.00
"35200754",726.00
"35200755",446.00
"35200756",840.00
"35200757",684.00
"35200768",397.00
"35200769",448.00
"35200770",729.00
"35200771",910.00
"35200772",849.00
"35200774",454.00
"35200782",2267.00
"35200783",520.00
"35200791",430.00
"35200792",702.00
"35200794",544.00
"35200795",448.00
"35200796",479.00
"35200797",428.00
"35200798",439.00
"35200801",1873.00
"35200802",655.00
"35200803",546.00
"35200804",5.00
"35200805",1703.00
"35200806",507.00
"35200807",197.00
"35200808",417.00
"35200809",258.00
"35200810",466.00
"35200811",981.00
"35200812",508.00
"35200813",328.00
"35200814",1089.00
"35200815",657.00
"35200821",637.00
"35200822",907.00
"35200826",1096.00
"35200827",415.00
"35200828",558.00
"35200829",0.00
"35200830",1252.00
"35200831",590.00
"35200832",646.00
"35200833",806.00
"35200855",1242.00
"35200859",323.00
"35200860",766.00
"35200861",526.00
"35200862",402.00
"35200863",411.00
"35200864",406.00
"35200865",687.00
"35200866",436.00
"35200867",928.00
"35200868",409.00
"35200869",663.00
"35200870",1887.00
"35200876",436.00
"35200877",416.00
"35200878",652.00
"35200879",468.00
"35200880",505.00
"35200881",408.00
"35200882",353.00
"35200883",450.00
"35200884",519.00
"35200885",523.00
"35200886",757.00
"35200887",585.00
"35200888",737.00
"35200889",661.00
"35200890",588.00
"35200891",332.00
"35200892",631.00
"35200893",290.00
"35200894",518.00
"35200895",551.00
"35200896",354.00
"35200897",632.00
"35200898",562.00
"35200899",427.00
"35200900",491.00
"35200901",403.00
"35200902",674.00
"35200903",400.00
"35200905",511.00
"35200906",1231.00
"35200907",430.00
"35200908",483.00
"35200909",665.00
"35200910",596.00
"35200911",375.00
"35200912",363.00
"35200913",658.00
"35200914",574.00
"35200915",726.00
"35200916",561.00
"35200917",355.00
"35200918",233.00
"35200919",383.00
"35200920",636.00
"35200921",532.00
"35200922",522.00
"35200923",341.00
"35200924",322.00
"35200925",374.00
"35200926",370.00
"35200927",399.00
"35200928",367.00
"35200929",373.00
"35200930",460.00
"35200931",382.00
"35200932",408.00
"35200933",373.00
"35200934",574.00
"35200935",377.00
"35200936",316.00
"35200937",399.00
"35200938",323.00
"35200939",402.00
"35200940",285.00
"35200941",358.00
"35200942",596.00
"35200943",242.00
"35200944",457.00
"35200945",507.00
"35200946",456.00
"35200949",564.00
"35200950",495.00
"35200951",611.00
"35200952",1481.00
"35200953",226.00
"35200954",374.00
"35200955",1359.00
"35200956",399.00
"35200957",1193.00
"35200958",779.00
"35200959",653.00
"35200960",380.00
"35200961",427.00
"35200962",515.00
"35200963",421.00
"35200965",384.00
"35200966",417.00
"35200967",657.00
"35200968",721.00
"35200969",486.00
"35200974",777.00
"35200975",424.00
"35200976",844.00
"35200977",581.00
"35200979",525.00
"35200981",467.00
"35200983",342.00
"35200985",427.00
"35200986",512.00
"35200987",538.00
"35200988",603.00
"35200989",640.00
"35200990",520.00
"35200991",428.00
"35200992",398.00
"35200993",280.00
"35200994",500.00
"35200995",301.00
"35200996",300.00
"35200997",689.00
"35200998",422.00
"35200999",547.00
"35201000",720.00
"35201001",571.00
"35201002",625.00
"35201003",580.00
"35201004",391.00
"35201005",546.00
"35201006",580.00
"35201007",369.00
"35201008",394.00
"35201009",414.00
"35201010",725.00
"35201011",320.00
"35201012",394.00
"35201013",338.00
"35201014",613.00
"35201015",700.00
"35201016",563.00
"35201017",405.00
"35201018",424.00
"35201019",468.00
"35201020",520.00
"35201023",684.00
"35201024",579.00
"35201025",594.00
"35201026",454.00
"35201027",688.00
"35201028",517.00
"35201029",894.00
"35201030",463.00
"35201031",772.00
"35201032",556.00
"35201033",698.00
"35201034",340.00
"35201035",650.00
"35201036",560.00
"35201038",629.00
"35201039",1281.00
"35201040",534.00
"35201041",840.00
"35201044",568.00
"35201045",426.00
"35201046",565.00
"35201047",585.00
"35201048",609.00
"35201049",787.00
"35201050",316.00
"35201051",667.00
"35201052",546.00
"35201053",474.00
"35201054",665.00
"35201055",912.00
"35201056",490.00
"35201057",679.00
"35201058",513.00
"35201059",519.00
"35201060",391.00
"35201061",531.00
"35201062",299.00
"35201063",779.00
"35201064",640.00
"35201065",602.00
"35201066",615.00
"35201067",421.00
"35201068",768.00
"35201069",477.00
"35201070",369.00
"35201071",501.00
"35201072",582.00
"35201073",656.00
"35201076",598.00
"35201077",446.00
"35201078",938.00
"35201079",564.00
"35201080",452.00
"35201081",389.00
"35201104",467.00
"35201105",416.00
"35201106",561.00
"35201107",814.00
"35201109",616.00
"35201110",827.00
"35201111",527.00
"35201112",464.00
"35201113",493.00
"35201114",540.00
"35201122",286.00
"35201123",348.00
"35201124",438.00
"35201125",416.00
"35201126",333.00
"35201127",576.00
"35201128",417.00
"35201129",576.00
"35201130",363.00
"35201131",666.00
"35201132",721.00
"35201133",523.00
"35201134",521.00
"35201139",688.00
"35201140",439.00
"35201141",544.00
"35201142",521.00
"35201143",548.00
"35201144",283.00
"35201145",627.00
"35201146",341.00
"35201147",404.00
"35201148",430.00
"35201149",310.00
"35201150",354.00
"35201151",326.00
"35201152",397.00
"35201153",504.00
"35201154",546.00
"35201155",413.00
"35201156",482.00
"35201157",367.00
"35201158",856.00
"35201159",730.00
"35201160",374.00
"35201161",263.00
"35201162",632.00
"35201163",242.00
"35201164",410.00
"35201165",599.00
"35201166",420.00
"35201167",844.00
"35201168",497.00
"35201169",431.00
"35201170",506.00
"35201171",381.00
"35201172",516.00
"35201173",404.00
"35201174",473.00
"35201175",516.00
"35201176",436.00
"35201177",463.00
"35201178",468.00
"35201179",517.00
"35201180",524.00
"35201181",439.00
"35201182",684.00
"35201185",535.00
"35201186",646.00
"35201187",330.00
"35201188",629.00
"35201191",325.00
"35201192",404.00
"35201193",477.00
"35201194",347.00
"35201195",404.00
"35201196",912.00
"35201197",315.00
"35201198",977.00
"35201199",546.00
"35201200",607.00
"35201201",486.00
"35201202",433.00
"35201203",772.00
"35201204",466.00
"35201205",643.00
"35201206",618.00
"35201209",258.00
"35201210",289.00
"35201211",475.00
"35201212",497.00
"35201213",416.00
"35201214",248.00
"35201215",656.00
"35201216",549.00
"35201217",653.00
"35201219",974.00
"35201222",365.00
"35201228",375.00
"35201240",343.00
"35201241",616.00
"35201242",684.00
"35201243",402.00
"35201244",265.00
"35201249",524.00
"35201250",812.00
"35201251",950.00
"35201252",338.00
"35201253",502.00
"35201254",475.00
"35201255",379.00
"35201256",391.00
"35201257",294.00
"35201259",446.00
"35201263",367.00
"35201264",786.00
"35201267",482.00
